locale,en,cmn-Hans,af,ar,de,el,fi,fr,ga,hi,hr,hu,id,it,ja,ko,nl,no,pl,pt,ro,ru,es,sw,sv,th,tr,vi,cat,sr-latn
crn,Cora (El Nayar),科拉语（埃尔纳亚尔）,Cora (El Nayar),كورا (نايار),Cora (El Nayar),Κόρα (Ελ Ναγιάρ),cora (El Nayar),Cora d'El Nayar,Cora,कोरा,kora (El Nayar),kora (El Nayar),Cora (El Nayar),Cora (El Nayar),コラ語（エル・ナヤール）,코라어 (엘 나야르),Cora (El Nayar),Cora (El Nayar),cora (El Nayar),Cora (El Nayar),Cora (El Nayar),кора (Эль-Наяр),cora (el nayar),Kikora,Cora (El Nayar),โครา (เอลนายาร์),Kora Dili (El Nayar),Cora,cora (El Nayar),Cora (El Nayar)
co,Corsican,科西嘉语,Korsikaans,الكورسيكية,Korsisch,Κορσικανική,korsika,Corse,Corsican,कोर्सिकन,korzički,korzikai,Korsika,Corso,コルシカ語,코르시카어,Corsicaans,Korsikansk,korsykański,Corso,Corsicană,корсиканский,corso,Kicorsicani,Korsikanska,คอร์ซิกา,Korsika Dili,Corsica,cors,korzikanski
csr,Costa Rican Sign Language,哥斯达黎加手语,Costa Ricaanse Gebaretaal,لغة الاشارات الكوستاريكية,Costa-ricanische Gebärdensprache,Νοηματική Γλώσσα της Κόστα Ρίκα,costaricalainen viittomakieli,Langue des signes costaricienne,Teanga Chomharthaíochta Chósta Ríce,कोस्टारिकन साइन लैंग्वेज,kostarikanski znakovni jezik,Costa Rica-i jelnyelv,Bahasa Isyarat Kosta Rika,Lingua dei segni costaricana,コスタリカ手話,코스타리카 수어,Costa Ricaanse Gebarentaal,Costaricansk tegnspråk,kostarykański język migowy,Língua de sinais costa-riquenha,Limbajul semnelor costarican,костариканский жестовый,lengua de señas costarricense,Lugha ya Ishara ya Kosta Rika,Costaricanskt teckenspråk,ภาษามือคอสตาริกา,Kosta Rika İşaret Dili,Costa Rica (Ngôn ngữ ký hiệu),llengua de signes costa-riquenya,kostarikanski znakovni jezik
crm-x-oc,Cree Omushkego (Roman),沼泽克里语（拉丁字母）,Cree Omushkego (Romeins),كري اومشكيغو (لاتينية),Omushkego-Cree (lateinische Schrift),Κρι Ομουσκέγκο (λατινικό αλφάβητο),cree (omushkego; latin.),Cri omushkégo (latin),Cree Omushkego (Roman),क्री ओमुशकीगो (रोमन),omuškego kri (latinica),mocsári kri (latin betűs),Cree Omushkego (Romawi),Cree omushkego (caratteri latini),湿原クリー語（ローマ字）,크리어-마스케곤크리어 (로마자),"Cree (Omushkego, Latijns)",Cree omushkego (latinsk skrift),kri omushkego (alfabet łaciński),Cree omushkego (latino),Cree omushkego (alfabet latin),"кри (мускегон, латиница)",cree omushkego (alfabeto latino),Kikree Omushkego (cha Kiroma),Cree (omushkego; latinsk skrift),ครี โอมุชเคโก (โรมัน),Kri Omushkego Dili (Latin Alfabesi),Cree Omushkego (Roman),cree omushkego (alfabet llatí),kri Omuškego (latinično pismo)
crk-latn,Cree Plains (Roman),平原克里语（拉丁字母）,Cree Plains (Romeins),كري السهول (لاتينية),Plains Cree (lateinische Schrift),Κρι Πλέινς (λατινικό αλφάβητο),cree (plains; latin.),Cri des plaines (latin),Cree Plains (Roman),क्री प्लेन्स (रोमन),"kri (ravničarski, latinica)",síksági kri (latin betűs),Cree Plains (Romawi),Cree delle pianure (caratteri latini),平原クリー語（ローマ字）,크리어-플레인스크리어 (로마자),"Cree (Prairie, Latijns)",Cree plains (latinsk skrift),kri równinny (alfabet łaciński),Cree das planícies (latino),Cree plains (alfabet latin),"кри (степной, латиница)",cree de las llanuras (alfabeto latino),Kikree Plains (cha Kiroma),Cree (slättcree; latinsk skrift),ครีที่ราบ (โรมัน),Kri Ova Dili (Latin Alfabesi),Cree Plains (La tinh),cree de la plana (alfabet llatí),kri ravničarski (latinično pismo)
crk-x-cys,Cree Plains (Syllabics),平原克里语（音节文字）,Cree Plains (Sillabies),كري السهول (مقطعية),Plains Cree (Silbenschrift),Κρι Πλέινς (Συλλαβική),cree (plains; tavukirjoitus),Cri des plaines (syllabique),Cree Plains,क्री प्लेन्स,kri (ravničarski; slogovno pismo),síksági kri (szótagírással),Cree Plains (Silabik),Cree delle pianure (sillabico),平原クリー語(音節文字),크리어-플레인스크리어 (음절 문자),"Cree (Prairie, lettergrepenschrift)",Cree plains (stavelsesskrift),kri równinny (sylabariusz),Cree das planícies (silábico),Cree plains (scriere silabică),"кри (степной, силлабическое письмо)",cree de las llanuras (silábico),Kikree Plains,Cree (slättcree; stavelseskrift),ครีที่ราบ (แบบพยางค์),Kri Ova Dili (Hecesel),Cree Plains,cree de la plana (sil·làbic),Kri ravničarski (silabički)
crj-latn,Cree Southern East (Roman),东南部克里语（拉丁字母）,Cree Southern East (Romeins),كري الجنوبية الشرقية (لاتيتية),Südost-Cree (lateinische Schrift),Κρι Νότια Ανατολική (Λατινικό Αλφάβητο),cree (eteläinen itäcree; latin.),Cri du Sud-Est (latin),Cree Southern East (Roman),Cree Southern East (Roman),kri južnoistočni (latinica),délkeleti kri (latin betűs),Cree Tenggara (Romawi),Cree sud-orientale (caratteri latini),クリー語（南東）（ローマ字）,크리어-남동부 크리어 (로마자),"Cree (Zuidoostelijk, Latijns)",Cree sørøstlig (latinsk skrift),kri południowowschodni (alfabet łaciński),Cree do sudeste (latino),Cree de sud-est (alfabet latin),"кри (юго-восточный, латиница)",cree suroriental (alfabeto latino),Cree Southern East (Roman),Cree (sydöstlig cree; latinsk skrift),ครีตะวันออกเฉียงใต้ (โรมัน),Kri Güneydoğu (Latin Alfabesi),Cree Southern East (Roman),cree de l'est (alfabet llatí),Kri jugoistočni (latinično pismo)
csw-x-yc,Cree West Swampy (Roman),沼泽西克里语（拉丁字母）,Cree West Swampy (Romeins),كري المستنقعات الغربية (لاتينية),Cree Western Swampy (Lateinisch),Κρι Δυτική Σουάμπι (λατινικό αλφάβητο),cree (läntinen swampy; latin.),Cri des marais de l’Ouest (latin),Cree West Swampy (Roman),क्री वेस्ट स्वाम्पी (रोमन),"kri (zapadna močvara, latinica)",nyugat mocsári kri (latin betűs),Cree West Swampy (Romawi),Cree swampy occidentale (caratteri latini),西部湿地帯クリー語（ローマ字）,크리어-웨스트스왐피크리어 (로마자),"Cree (Moeras, Westelijk, Latijns)",Cree west swampy (latinsk skrift),kri zachodni bagienny (alfabet łaciński),Cree dos pântanos ocidental (latino),Cree western swampy (alfabet latin),"кри (западно-болотный, латиница)",cree de los pantanos occidental (alfabeto latino),Kikree West Swampy (cha Kiroma),Cree (västmyrcree; latinsk skrift),ครีลุ่มตะวันตก (โรมัน),Kri Batı Swampy Dili (Latin Alfabesi),Cree Swampy Tây (La tinh),cree swampy occidental (alfabet llatí),kri zapadne močvare (latinično pismo)
csw-x-ycs,Cree West Swampy (Syllabics),沼泽西克里语（音节文字）,Cree West Swampy (Sillabies),كري المستنقعات الغربية (مقطعية),Cree Western Swampy (Silbenschrift),Κρι Δυτική Σουάμπι (Συλλαβική),cree (läntinen swampy; tavukirjoitus),Cri des marais de l’Ouest (syllabique),Cree West Swampy,क्री वेस्ट स्वाम्पी,kri (zapadna močvara; slogovno pismo),nyugati mocsári kri (szótagírással),Cree West Swampy (Silabik),Cree swampy occidentale (sillabico),西部湿地帯クリー語(音節文字),크리어-웨스트스왐피크리어 (음절 문자),"Cree (Moeras, Westelijk, lettergrepenschrift)",Cree west swampy (stavelsesskrift),kri zachodni bagienny (sylabariusz),Cree dos pântanos ocidental (silábico),Cree west swampy (scriere silabică),"кри (западно-болотный, силлабическое письмо)",cree de los pantanos occidental (silábico),Kikree West Swampy,Cree (västmyrcree; stavelseskrift),ครีลุ่มตะวันตก (แบบพยางค์),Kri Batı Swampy Dili (Hecesel),Cree Swampy Tây,cree swampy occidental (sil·làbic),Kri zapadne močvare (silabički)
cwd-x-wc,Cree Woods (Roman),林地克里语（拉丁字母）,Cree Woods (Romeins),كري الغابات (لاتينية),Woods Cree (lateinische Schrift),Κρι Γουντς (λατινικό αλφάβητο),cree (woods; latin),Cri des bois (latin),Cree Woods (Roman),क्री वुड्स (रोमन),"kri (šumski, latinica)",erdei kri (latin betűs),Cree Woods (Romawi),Cree delle foreste (caratteri latini),森林クリー語（ローマ字）,크리어-우들랜드크리어 (로마자),"Cree (Bos, Latijns)",Cree woods (latinsk skrift),kri leśny (alfabet łaciński),Cree das florestas (latino),Cree woods (alfabet latin),"кри (лесной, латиница)",cree de los bosques (alfabeto latino),Kikree Woods (cha Kiroma),Cree (skogscree; latinsk skrift),ครีป่า (โรมัน),Kri Orman Dili (Latin Alfabesi),Cree Woods (La tinh),cree dels boscos (alfabet llatí),kri šumski (latinično pismo)
cwd-x-wcs,Cree Woods (Syllabics),林地克里语（音节文字）,Cree Woods (Sillabies),كري الغابات (مقطعية),Woods Cree (Silbenschrift),Κρι Γουντς (Συλλαβική),cree (woods; tavukirjoitus),Cri des bois (syllabique),Cree Woods,क्री वुड्स,kri (šumski; slogovno pismo),erdei kri (szótagírással),Cree Woods (Silabik),Cree delle foreste (sillabico),森林クリー語(音節文字),크리어-우들랜드크리어 (음절 문자),"Cree (Bos, lettergrepenschrift)",Cree woods (stavelsesskrift),kri leśny (sylabariusz),Cree das florestas (silábico),Cree woods (scriere silabică),"кри (лесной, силлабическое письмо)",cree de los bosques (silábico),Kikree Woods,Cree (skogscree; stavelseskrift),ครีป่า (แบบพยางค์),Kri Orman Dili (Hecesel),Cree Woods,cree dels boscos (sil·làbic),Kri šumski (silabički)
crh-x-ctc,Crimean Tatar (Cyrillic),克里米亚塔塔尔语（西里尔字母）,Krimtataars (Cyrillies),التتارية القرمية السيريلية,Krimtatarisch (kyrillische Schrift),Ταταρική της Κριμαίας (κυριλλικό αλφάβητο),krimintataari (kyrill.),Tatar criméen (cyrillique),Crimean Tatar (Cyrillic),क्रीमीन टाटर (सिरिलिक),krimski tatarski (ćirilica),krími tatár (cirill betűs),Crimean Tatar (Sirilik),Tataro della Crimea (caratteri cirillici),クリミア･タタール語（キリル文字）,크림타타르어 (키릴 문자),Krimtataars (cyrillisch),Krimtatarisk (kyrillisk skrift),krymskotatarski (alfabet grażdanka),Tártaro da Crimeia (cirílico),"Tătară (Crimeea, alfabet chirilic)",крымско-татарский (кириллица),tártaro de Crimea (alfabeto cirílico),Kitatar cha Krimea (cha Kisirili),Krimtatariska (kyrillisk skrift),ตาตาร์ไครเมีย (ซีริลลิก),Kırım Tatarcası (Kiril Alfabesi),Crimean Tatar (Cyrillic),tàtar de Crimea (alfabet ciríl·lic),krimsko-tatarski (ćirilično pismo)
hr,Croatian,克罗地亚语,Kroaties,الكرواتية,Kroatisch,Κροατική,kroatia,Croate,Cróitis,क्रोएशियन,hrvatski,horvát,Kroasia,Croato,クロアチア語,크로아티아어,Kroatisch,Kroatisk,chorwacki,Croata,Croată,хорватский,croata,Kikroatia,Kroatiska,โครเอเชีย,Hırvatça,Croatia,croat,hrvatski
csq,Croatian Sign Language,克罗地亚手语,Kroatiese Gebaretaal,لغة الاشارات الكرواتية,Kroatische Gebärdensprache,Κροατική Νοηματική Γλώσσα,kroatialainen viittomakieli,Langue des signes croate,Teanga Chomharthaíochta na Cróite,क्रोएशियन साइन लैंग्वेज,hrvatski znakovni jezik,horvát jelnyelv,Bahasa Isyarat Kroasia,Lingua dei segni croata,クロアチア手話,크로아티아 수어,Kroatische Gebarentaal,Kroatisk tegnspråk,chorwacki język migowy,Língua de sinais croata,Limbajul semnelor croat,хорватский жестовый,lenguaje de señas croata,Lugha ya Ishara ya Kroatia,Kroatiskt teckenspråk,ภาษามือโครเอเชีย,Hırvat İşaret Dili,Croatia (Ngôn ngữ ký hiệu),llengua de signes croata,hrvatski znakovni jezik
csf,Cuban Sign Language,古巴手语,Kubaanse Gebaretaal,لغة الاشارات الكوبية,Kubanische Gebärdensprache,Νοηματική Γλώσσα της Κούβας,kuubalainen viittomakieli,Langue des signes cubaine,Teanga Chomharthaíochta Chúba,क्यूबन साइन लैंग्वेज,kubanski znakovni jezik,kubai jelnyelv,Bahasa Isyarat Kuba,Lingua dei segni cubana,キューバ手話,쿠바 수어,Cubaanse Gebarentaal,Kubansk tegnspråk,kubański język migowy,Língua de sinais cubana,Limbajul semnelor cubanez,кубинский жестовый,lenguaje de señas cubano,Lugha ya Ishara ya Kuba,Kubanskt teckenspråk,ภาษามือคิวบา,Küba İşaret Dili,Cuba (Ngôn ngữ ký hiệu),llengua de signes cubana,kubanski znakovni jezik
cub,Cubeo,库维奥语,Cubeo,كوبيو,Cubeo,Κουμπέο,cubeo,Cubeo,Cubeo,Cubeo,cubeo,kubeo,Cubeo,Cubeo,クベオ語,쿠베오어,Cubeo,Cubeo,cubeo,Cubeo,Cubeo,кубео,cubeo,Cubeo,Cubeo,คูเบโอ,Cubeo,Cubeo,kubeo,Cubeo
kpc,Curripaco,柯里帕科语,Curripaco,كوريبكو,Curipaco,Κουριπάκο,curripaco,Curripaco,Curripaco,क्यूरीपेको,curripaco,kurripako,Curripaco,Curripaco,クリパコ語,쿠리파코어,Curripaco,Curripaco,curripaco,Curripaco,Curripaco,куррипако,curripaco,Kikurripako,Curripaco,กูร์ริปาโก,KurripaKo Dili,Curripaco,curripaco,kuripako
cs,Czech,捷克语,Tsjeggies,التشيكية,Tschechisch,Τσεχική,tšekki,Tchèque,Seicis,चेक,češki,cseh,Cheska,Ceco,チェコ語,체코어,Tsjechisch,Tsjekkisk,czeski,Tcheco,Cehă,чешский,checo,Kicheki,Tjeckiska,เช็ก,Çekçe,Séc,txec,češki
cse,Czech Sign Language,捷克手语,Tsjeggiese Gebaretaal,لغة الاشارات التشيكية,Tschechische Gebärdensprache,Τσεχική Νοηματική Γλώσσα,tšekkiläinen viittomakieli,Langue des signes tchèque,Teanga Chomharthaíochta na Seice,चेक साइन लैंग्वेज,češki znakovni jezik,cseh jelnyelv,Bahasa Isyarat Cheska,Lingua dei segni ceca,チェコ手話,체코 수어,Tsjechische Gebarentaal,Tsjekkisk tegnspråk,czeski język migowy,Língua de sinais tcheca,Limbajul semnelor ceh,чешский жестовый,lenguaje de señas checo,Lugha ya Ishara ya Cheki,Tjeckiskt teckenspråk,ภาษามือเช็ก,Çek İşaret Dili,Séc (Ngôn ngữ ký hiệu),llengua de signes txeca,češki znakovni jezik
dga,Dagaare,达加里语,Dagaare,الداغاري,Dagari,Νταγκαάρε,dagaare,Dagaare méridional,Dagaare,डगारे,dagarski,dagari,Dagaare,Dagaare,ダガリ語,다가레어,Dagaare,Dagaare,dagara,Dagaare,Dagara,дагара,dagaari,Kidagaare,Dagaare,ดากาอาเร,Dagaare,Dagaare,dagaare,dagari
dag,Dagbani,达加里语,Dagbani,الداغبانية,Dagbani,Νταγκμπάνι,dagbani,Dagomba,Dagbani,दागबानी,dagbani,dagbani,Dagbani,Dagbani,ダバネ語,다그바니어,Dagbani,Dagbani,dagbani,Dagbani,Dagbani,дагбани,dagbani,Kidagbani,Dagbani,ดากบานี,Dagbani,Dagbani,dagbane,dagbani
dak,Dakota,达科他语,Dakota,داكوتا,Dakota,Ντακότα,dakota,Dakota,Dakota,दाकोता,dakota,dakota,Dakota,Dakota,ダコタ語,다코타어,Dakota,Dakota,dakota,Dacota,Dakota,дакота,dakota,Kidakota,Dakota,ดาโกตา,Dakota Dili,Dakota,dakota,dakota
naq-x-dmr,Damara,达马拉语,Damara,دمارا,Bergdama,Νταμάρα,damara,Damara,Damara,दमारा,damara,damara,Damara,Damara,ダマラ語,다마라어,Damara,Damara,damara,Damara,Damara,дамара,damara,Kidamara,Damara,ดามารา,Damara,Damara,damara,damara
ada,Dangme,当梅语,Dangme,الدانغمي,Adangme,Ντάνγκμε,dangme,Dangme,Dangme,डांग्मे,dangme,dangme,Dangme,Dangme,ダングメ語,당메어,Dangme,Dangme,adangme,Dangme,Dangme,адангме,dangme,Kidangme,Dangme,ดังเม,Adangme Dili,Dangme,dangme,dangme
da,Danish,丹麦语,Deens,الدانماركية,Dänisch,Δανική,tanska,Danois,Danmhairgis,डेनिश,danski,dán,Denmark,Danese,デンマーク語,덴마크어,Deens,Dansk,duński,Dinamarquês,Daneză,датский,danés,Kidenishi,Danska,เดนมาร์ก,Danca,Đan Mạch,danès,danski
dsl,Danish Sign Language,丹麦手语,Deense Gebaretaal,لغة الاشارات الدانماركية,Dänische Gebärdensprache,Δανική Νοηματική Γλώσσα,tanskalainen viittomakieli,Langue des signes danoise,Teanga Chomharthaíochta na Danmhairge,डेनिश साइन लैंग्वेज,danski znakovni jezik,dán jelnyelv,Bahasa Isyarat Denmark,Lingua dei segni danese,デンマーク手話,덴마크 수어,Deense Gebarentaal,Dansk tegnspråk,duński język migowy,Língua de sinais dinamarquesa,Limbajul semnelor danez,датский жестовый,lenguaje de señas danés,Lugha ya Ishara ya Denmark,Danskt teckenspråk,ภาษามือเดนมาร์ก,Danimarka İşaret Dili,Đan Mạch (Ngôn ngữ ký hiệu),llengua de signes danesa,danski znakovni jezik
dar,Dargwa,达尔格瓦语,Dargwa,الدارغوا,Darginisch,Ντάργκουα,dargva,Dargwa,Dargwa,दार्गवा,dargvinski,dargva,Dargwa,Dargua,ダルギン語,다르과어,Dargva,Dargvaisk,dargijski,Dárgua,Darghină,даргинский,darguí,Kidargwa,Dargwa,ดาร์กวา,Dargva,Dargwa,dargwa,dargva
prs,Dari,达里语,Dari,الدارية,Dari,Νταρί,dari,Dari,Dari,दारी,dari,dari,Dari,Dari,ダリー語,다리어,Dari,Dari,dari,Dari,Dari,дари,dari,Kidari,Dari,ดารี,Dari,Dari,dari,dari
knx,Dayak Ahe,达雅克阿赫语,Dajaks-Ahe,داياك اهي,Ahe,Νταγιάκ Άχε,dajak (ahe),Dayak Ahe,Dayak Ahe,दायक,dajak ahe,ahe dajak,Dayak Ahe,Daiacco ahe,ダヤク・アヘ語,아헤 다야크어,Dajaks Ahe,Dajak (Ahe),dajacki ahe,Daiaque ahe,Dayak ahe,даяк ахе,dayaco ahe,Kidayak Ahe,Dajakiska (ahe),ดายักอาฮี,Dahak Ahe,Dayak Ahe,ahe,dajak ahe
